const_cd,const_nm,winner19,winner24,con24,green24,lab24,ld24,other24,pc24,ref24,snp24,con19,lab19,ld19,green19,snp19,pc19,brx19,other19
E14001219,Eastbourne,Con,ld,23.0%,2.1%,10.4%,51.8%,1.4%,0.0%,11.3%,0.0%,47.1%,6.9%,42.9%,0.0%,0.0%,0.0%,2.7%,0.4%
E14001220,Eastleigh,Con,ld,29.2%,3.7%,22.6%,33.0%,0.7%,0.0%,10.8%,0.0%,51.9%,11.7%,34.4%,2.0%,0.0%,0.0%,0.0%,0.0%
E14001221,Edmonton and Winchmore Hill,Lab,lab,16.3%,4.2%,63.2%,8.6%,1.9%,0.0%,5.8%,0.0%,31.1%,58.2%,6.7%,2.1%,0.0%,0.0%,1.8%,0.2%
E14001222,Ellesmere Port and Bromborough,Lab,lab,11.7%,3.3%,66.8%,5.5%,0.7%,0.0%,11.9%,0.0%,27.1%,59.3%,7.4%,1.9%,0.0%,0.0%,4.3%,0.0%
E14001223,Eltham and Chislehurst,Con,lab,20.5%,5.4%,57.8%,4.7%,1.4%,0.0%,10.1%,0.0%,46.9%,40.1%,7.5%,3.0%,0.0%,0.0%,2.6%,0.0%
E14001224,Ely and East Cambridgeshire,Con,con,31.0%,4.0%,23.0%,25.6%,1.1%,0.0%,15.2%,0.0%,54.0%,14.4%,29.3%,0.6%,0.0%,0.0%,0.0%,1.9%
E14001225,Enfield North,Lab,lab,18.0%,5.4%,58.0%,5.9%,5.2%,0.0%,7.6%,0.0%,35.9%,53.3%,6.5%,2.4%,0.0%,0.0%,1.8%,0.0%
E14001226,Epping Forest,Con,con,38.2%,4.8%,37.1%,11.2%,8.7%,0.0%,0.0%,0.0%,64.4%,20.3%,10.7%,3.9%,0.0%,0.0%,0.0%,0.7%
E14001227,Epsom and Ewell,Con,con,30.2%,3.6%,23.8%,29.9%,3.3%,0.0%,9.2%,0.0%,53.6%,16.8%,24.2%,3.3%,0.0%,0.0%,0.0%,2.1%
E14001228,Erewash,Con,lab,24.8%,3.8%,47.8%,4.1%,0.9%,0.0%,18.6%,0.0%,56.5%,34.7%,5.1%,2.3%,0.0%,0.0%,0.0%,1.4%
E14001229,Erith and Thamesmead,Lab,lab,13.2%,6.3%,63.7%,6.6%,1.4%,0.0%,8.9%,0.0%,28.2%,58.4%,4.9%,2.8%,0.0%,0.0%,5.0%,0.6%
E14001230,Esher and Walton,Con,ld,24.3%,2.2%,15.1%,44.5%,0.7%,0.0%,13.3%,0.0%,49.5%,4.8%,44.2%,0.2%,0.0%,0.0%,0.0%,1.3%
E14001231,Exeter,Lab,lab,13.0%,11.0%,54.9%,2.8%,1.1%,0.0%,17.2%,0.0%,32.1%,54.8%,0.0%,9.3%,0.0%,0.0%,2.6%,1.2%
E14001232,Exmouth and Exeter East,Con,lab,25.2%,5.1%,31.5%,6.7%,12.2%,0.0%,19.3%,0.0%,49.8%,10.5%,3.0%,1.7%,0.0%,0.0%,0.3%,34.6%
E14001233,Fareham and Waterlooville,Con,con,33.4%,4.4%,32.1%,17.4%,0.4%,0.0%,12.3%,0.0%,61.2%,15.8%,18.9%,4.1%,0.0%,0.0%,0.0%,0.0%
E14001234,Farnham and Bordon,Con,ld,29.6%,3.5%,14.2%,34.2%,0.7%,0.0%,17.8%,0.0%,59.4%,6.8%,32.8%,0.9%,0.0%,0.0%,0.0%,0.0%
E14001235,Faversham and Mid Kent,Con,lab,29.0%,5.0%,34.4%,10.1%,0.8%,0.0%,20.7%,0.0%,62.6%,19.8%,12.5%,4.1%,0.0%,0.0%,0.0%,1.0%
E14001236,Feltham and Heston,Lab,lab,17.2%,5.3%,57.0%,6.0%,3.7%,0.0%,10.8%,0.0%,35.8%,51.7%,6.6%,2.4%,0.0%,0.0%,3.5%,0.0%
E14001237,Filton and Bradley Stoke,Con,lab,21.9%,8.4%,55.0%,5.1%,0.0%,0.0%,9.5%,0.0%,51.0%,35.8%,10.0%,2.7%,0.0%,0.0%,0.0%,0.5%
E14001238,Finchley and Golders Green,Con,lab,25.1%,10.3%,32.8%,24.9%,1.0%,0.0%,5.8%,0.0%,43.8%,24.4%,31.8%,0.0%,0.0%,0.0%,0.0%,0.0%
E14001239,Folkestone and Hythe,Con,lab,26.4%,6.7%,39.7%,6.7%,1.0%,0.0%,19.5%,0.0%,56.3%,26.8%,10.0%,4.9%,0.0%,0.0%,0.0%,2.0%
E14001240,Forest of Dean,Con,lab,19.6%,7.8%,36.9%,1.8%,3.2%,0.0%,30.6%,0.0%,59.6%,28.8%,0.0%,9.1%,0.0%,0.0%,0.0%,2.5%
E14001241,Frome and East Somerset,Con,ld,23.1%,6.5%,22.9%,34.6%,2.0%,0.0%,11.0%,0.0%,49.3%,21.2%,23.5%,6.1%,0.0%,0.0%,0.0%,0.0%
E14001242,Fylde,Con,lab,28.4%,4.1%,46.0%,5.5%,2.6%,0.0%,13.3%,0.0%,62.2%,25.2%,7.3%,3.5%,0.0%,0.0%,0.0%,1.8%
E14001243,Gainsborough,Con,lab,28.4%,3.7%,31.7%,6.9%,1.1%,0.0%,28.2%,0.0%,66.3%,21.2%,10.4%,0.0%,0.0%,0.0%,0.0%,2.2%
E14001244,Gateshead Central and Whickham,Lab,lab,17.7%,11.5%,47.6%,8.6%,1.1%,0.0%,13.5%,0.0%,33.0%,47.1%,12.2%,3.8%,0.0%,0.0%,3.9%,0.0%
E14001245,Gedling,Con,lab,19.1%,3.8%,56.3%,3.6%,0.7%,0.0%,16.4%,0.0%,47.2%,42.8%,4.5%,2.2%,0.0%,0.0%,3.4%,0.0%
E14001246,Gillingham and Rainham,Con,lab,27.4%,4.0%,46.7%,4.8%,1.2%,0.0%,15.8%,0.0%,61.3%,28.4%,5.4%,2.3%,0.0%,0.0%,0.0%,2.6%
E14001247,Glastonbury and Somerton,Con,ld,24.5%,4.9%,14.7%,41.9%,0.0%,0.0%,14.0%,0.0%,57.5%,9.6%,30.9%,2.0%,0.0%,0.0%,0.0%,0.0%
E14001248,Gloucester,Con,lab,22.9%,5.7%,50.5%,4.9%,0.9%,0.0%,15.2%,0.0%,54.6%,35.2%,7.7%,2.5%,0.0%,0.0%,0.0%,0.0%
E14001249,Godalming and Ash,Con,ld,30.4%,3.7%,17.6%,37.9%,0.9%,0.0%,9.5%,0.0%,53.4%,8.9%,34.1%,1.6%,0.0%,0.0%,0.0%,1.9%
E14001250,Goole and Pocklington,Con,lab,28.8%,5.0%,35.5%,5.8%,1.4%,0.0%,23.5%,0.0%,65.1%,20.4%,7.8%,3.9%,0.0%,0.0%,0.0%,2.8%
E14001251,Gorton and Denton,Lab,lab,10.3%,4.1%,70.0%,4.5%,2.0%,0.0%,9.1%,0.0%,18.9%,67.2%,5.8%,2.5%,0.0%,0.0%,4.9%,0.7%
E14001252,Gosport,Con,con,31.2%,5.0%,29.1%,12.3%,0.7%,0.0%,21.7%,0.0%,66.5%,18.5%,11.3%,3.7%,0.0%,0.0%,0.0%,0.0%
E14001253,Grantham and Bourne,Con,lab,30.8%,5.9%,37.2%,5.7%,0.9%,0.0%,19.5%,0.0%,65.8%,20.0%,9.0%,4.3%,0.0%,0.0%,0.0%,0.9%
E14001254,Gravesham,Con,lab,34.4%,5.7%,41.0%,4.6%,0.0%,0.0%,14.3%,0.0%,62.2%,29.4%,5.4%,2.9%,0.0%,0.0%,0.0%,0.0%
E14001255,Great Grimsby and Cleethorpes,Con,lab,23.0%,6.4%,38.9%,6.9%,2.5%,0.0%,22.2%,0.0%,55.6%,32.2%,4.9%,2.0%,0.0%,0.0%,4.9%,0.4%
E14001256,Great Yarmouth,Con,lab,28.3%,7.6%,32.6%,3.5%,1.1%,0.0%,26.9%,0.0%,65.8%,25.1%,3.8%,2.4%,0.0%,0.0%,0.0%,2.8%
E14001257,Greenwich and Woolwich,Lab,lab,12.8%,6.0%,62.5%,9.9%,1.7%,0.0%,7.0%,0.0%,22.7%,55.0%,14.6%,4.6%,0.0%,0.0%,2.3%,0.8%
E14001258,Guildford,Con,lab,24.7%,5.2%,34.8%,25.3%,1.6%,0.0%,8.5%,0.0%,45.1%,8.4%,39.2%,0.4%,0.0%,0.0%,0.0%,7.0%
E14001259,Hackney North and Stoke Newington,Lab,lab,8.3%,9.9%,66.0%,5.0%,3.5%,0.0%,7.3%,0.0%,13.0%,69.8%,7.7%,8.0%,0.0%,0.0%,1.0%,0.4%
E14001260,Hackney South and Shoreditch,Lab,lab,7.8%,6.7%,70.9%,5.2%,3.7%,0.0%,5.7%,0.0%,10.4%,73.4%,8.2%,6.4%,0.0%,0.0%,1.4%,0.2%
E14001261,Halesowen,Con,lab,26.3%,7.2%,43.7%,3.2%,0.0%,0.0%,19.6%,0.0%,60.2%,32.6%,3.5%,2.4%,0.0%,0.0%,0.0%,1.2%
E14001262,Halifax,Lab,lab,19.2%,7.0%,49.7%,5.1%,2.6%,0.0%,16.5%,0.0%,41.7%,45.6%,4.8%,2.0%,0.0%,0.0%,5.9%,0.0%
E14001263,Hamble Valley,Con,con,36.4%,6.7%,22.5%,18.2%,0.7%,0.0%,15.5%,0.0%,62.2%,13.6%,21.1%,3.1%,0.0%,0.0%,0.0%,0.0%
E14001264,Hammersmith and Chiswick,Lab,lab,13.5%,3.9%,48.7%,9.4%,17.3%,0.0%,7.2%,0.0%,30.5%,50.8%,13.9%,3.1%,0.0%,0.0%,1.8%,0.0%
E14001265,Hampstead and Highgate,Lab,lab,15.3%,8.3%,48.5%,20.8%,1.1%,0.0%,6.0%,0.0%,23.2%,47.6%,24.3%,3.7%,0.0%,0.0%,1.3%,0.0%
E14001266,"Harborough, Oadby and Wigston",Con,lab,27.9%,5.4%,35.5%,11.9%,2.0%,0.0%,17.4%,0.0%,54.5%,24.8%,16.9%,3.1%,0.0%,0.0%,0.0%,0.7%
E14001267,Harlow,Con,lab,31.6%,4.8%,42.1%,5.1%,0.8%,0.0%,15.6%,0.0%,64.6%,29.3%,5.9%,0.3%,0.0%,0.0%,0.0%,0.0%
E14001268,Harpenden and Berkhamsted,Con,lab,32.9%,3.2%,34.4%,18.6%,2.3%,0.0%,8.5%,0.0%,52.3%,10.6%,25.3%,1.6%,0.0%,0.0%,0.0%,10.2%
E14001269,Harrogate and Knaresborough,Con,ld,23.7%,2.4%,19.3%,46.1%,1.1%,0.0%,7.4%,0.0%,52.0%,9.6%,36.2%,0.0%,0.0%,0.0%,0.0%,2.2%
E14001270,Harrow East,Con,lab,31.1%,5.1%,43.6%,7.5%,1.7%,0.0%,11.0%,0.0%,54.6%,37.4%,7.5%,0.3%,0.0%,0.0%,0.2%,0.0%
E14001271,Harrow West,Lab,lab,21.7%,7.7%,45.2%,11.7%,3.9%,0.0%,9.9%,0.0%,34.8%,53.1%,8.2%,2.1%,0.0%,0.0%,1.8%,0.0%
E14001272,Hartlepool,Lab,lab,13.9%,3.4%,48.5%,5.0%,1.1%,0.0%,28.1%,0.0%,28.9%,37.7%,4.1%,0.0%,0.0%,0.0%,25.8%,3.4%
E14001273,Harwich and North Essex,Con,lab,33.3%,10.8%,38.2%,7.2%,0.0%,0.0%,10.4%,0.0%,58.6%,25.9%,10.7%,3.6%,0.0%,0.0%,0.0%,1.2%
E14001274,Hastings and Rye,Con,lab,25.3%,4.5%,51.7%,5.5%,1.0%,0.0%,12.1%,0.0%,49.1%,42.4%,7.4%,0.1%,0.0%,0.0%,0.0%,1.1%
E14001275,Havant,Con,con,29.7%,5.1%,28.8%,17.8%,0.8%,0.0%,17.8%,0.0%,65.4%,18.0%,12.4%,3.5%,0.0%,0.0%,0.0%,0.7%
E14001276,Hayes and Harlington,Lab,lab,18.6%,7.3%,54.8%,4.0%,2.8%,0.0%,12.5%,0.0%,34.7%,55.8%,4.4%,1.7%,0.0%,0.0%,2.9%,0.4%
E14001277,Hazel Grove,Con,ld,24.2%,2.2%,23.4%,40.3%,0.7%,0.0%,9.2%,0.0%,45.6%,16.3%,37.2%,0.3%,0.0%,0.0%,0.6%,0.0%
E14001278,Hemel Hempstead,Con,lab,27.7%,4.7%,50.3%,6.8%,0.0%,0.0%,10.4%,0.0%,55.0%,28.1%,11.4%,2.9%,0.0%,0.0%,0.0%,2.6%
E14001279,Hendon,Con,lab,21.3%,3.4%,58.6%,9.0%,1.4%,0.0%,6.4%,0.0%,48.9%,40.9%,8.6%,1.6%,0.0%,0.0%,0.0%,0.0%
E14001280,Henley and Thame,Con,ld,28.9%,4.8%,16.9%,39.1%,0.6%,0.0%,9.7%,0.0%,54.5%,8.9%,32.4%,4.2%,0.0%,0.0%,0.0%,0.0%
E14001281,Hereford and South Herefordshire,Con,lab,31.5%,6.3%,37.1%,8.7%,0.8%,0.0%,15.6%,0.0%,61.7%,19.9%,13.3%,5.1%,0.0%,0.0%,0.0%,0.0%
E14001282,Herne Bay and Sandwich,Con,lab,34.6%,6.9%,36.4%,9.7%,0.0%,0.0%,12.4%,0.0%,64.4%,24.4%,7.5%,3.8%,0.0%,0.0%,0.0%,0.0%
E14001283,Hertford and Stortford,Con,lab,24.8%,8.2%,40.9%,9.6%,0.8%,0.0%,15.7%,0.0%,55.7%,23.7%,14.2%,4.6%,0.0%,0.0%,0.0%,1.8%
E14001284,Hertsmere,Con,lab,35.2%,4.1%,35.8%,10.7%,1.0%,0.0%,13.1%,0.0%,64.9%,21.1%,10.9%,3.1%,0.0%,0.0%,0.0%,0.0%
E14001285,Hexham,Con,lab,37.1%,5.9%,47.9%,7.9%,1.2%,0.0%,0.0%,0.0%,54.3%,31.7%,9.4%,3.6%,0.0%,0.0%,0.9%,0.0%
E14001286,Heywood and Middleton North,Lab,lab,17.9%,0.0%,52.2%,9.2%,6.7%,0.0%,13.9%,0.0%,41.5%,43.1%,4.2%,2.8%,0.0%,0.0%,8.4%,0.0%
E14001287,High Peak,Con,lab,21.5%,5.0%,55.6%,3.6%,0.0%,0.0%,14.3%,0.0%,45.9%,44.8%,5.1%,2.1%,0.0%,0.0%,2.2%,0.0%
E14001288,Hinckley and Bosworth,Con,con,30.3%,4.9%,25.7%,15.8%,0.8%,0.0%,22.6%,0.0%,64.6%,14.2%,18.2%,2.9%,0.0%,0.0%,0.0%,0.0%
E14001289,Hitchin,Con,lab,21.0%,3.2%,35.1%,25.4%,1.0%,0.0%,14.3%,0.0%,47.0%,26.2%,23.7%,1.5%,0.0%,0.0%,0.0%,1.6%
E14001290,Holborn and St Pancras,Lab,lab,11.1%,10.0%,56.5%,9.7%,4.3%,0.0%,8.4%,0.0%,15.2%,66.3%,12.3%,4.0%,0.0%,0.0%,1.9%,0.4%
E14001291,Honiton and Sidmouth,Con,ld,25.7%,3.8%,15.4%,32.9%,4.7%,0.0%,17.5%,0.0%,60.4%,14.2%,9.6%,2.1%,0.0%,0.0%,0.0%,13.8%
E14001292,Hornchurch and Upminster,Con,lab,31.3%,6.5%,35.0%,6.1%,0.9%,0.0%,20.2%,0.0%,65.4%,22.9%,7.1%,3.6%,0.0%,0.0%,0.0%,1.0%
E14001293,Hornsey and Friern Barnet,Lab,lab,9.4%,10.1%,52.8%,18.5%,1.4%,0.0%,7.9%,0.0%,11.8%,57.3%,25.6%,3.8%,0.0%,0.0%,0.9%,0.6%
E14001294,Horsham,Con,ld,30.9%,4.1%,21.5%,32.7%,0.7%,0.0%,10.1%,0.0%,55.8%,15.6%,24.7%,3.0%,0.0%,0.0%,0.0%,0.9%
E14001295,Houghton and Sunderland South,Lab,lab,14.9%,5.7%,56.6%,3.3%,0.0%,0.0%,19.5%,0.0%,32.9%,40.4%,5.9%,2.7%,0.0%,0.0%,15.7%,2.3%
E14001296,Hove and Portslade,Lab,lab,14.8%,7.3%,65.0%,4.7%,0.8%,0.0%,7.2%,0.0%,28.1%,58.3%,6.6%,4.4%,0.0%,0.0%,2.0%,0.6%
E14001297,Huddersfield,Lab,lab,16.9%,8.0%,53.1%,8.5%,0.0%,0.0%,13.6%,0.0%,36.4%,51.4%,5.0%,3.8%,0.0%,0.0%,3.4%,0.0%
E14001298,Huntingdon,Con,lab,29.3%,4.7%,45.0%,10.0%,1.2%,0.0%,9.7%,0.0%,59.2%,20.8%,14.0%,3.5%,0.0%,0.0%,0.0%,2.5%
E14001299,Hyndburn,Con,lab,21.3%,3.6%,55.3%,2.9%,0.0%,0.0%,16.8%,0.0%,48.5%,41.5%,2.9%,2.0%,0.0%,0.0%,5.1%,0.0%
E14001300,Ilford North,Lab,lab,18.7%,5.9%,54.6%,3.9%,6.6%,0.0%,10.4%,0.0%,36.7%,54.1%,4.0%,1.4%,0.0%,0.0%,1.9%,2.0%
E14001301,Ilford South,Lab,lab,13.5%,7.5%,58.4%,4.3%,8.5%,0.0%,7.8%,0.0%,21.2%,65.2%,3.3%,1.3%,0.0%,0.0%,2.2%,6.6%
E14001302,Ipswich,Con,lab,24.6%,7.8%,44.8%,3.9%,1.1%,0.0%,17.8%,0.0%,50.3%,39.3%,4.9%,2.6%,0.0%,0.0%,2.9%,0.0%
E14001303,Isle of Wight East,Con,lab,28.6%,12.1%,37.8%,3.0%,1.2%,0.0%,17.3%,0.0%,57.4%,24.1%,0.0%,14.0%,0.0%,0.0%,0.0%,4.5%
E14001304,Isle of Wight West,Con,ref,19.1%,19.0%,22.0%,3.0%,1.0%,0.0%,35.9%,0.0%,55.0%,24.5%,0.0%,16.4%,0.0%,0.0%,0.0%,4.1%
E14001305,Islington North,Lab,lab,7.9%,9.5%,49.8%,10.2%,18.8%,0.0%,3.7%,0.0%,10.2%,64.3%,15.6%,8.0%,0.0%,0.0%,1.4%,0.4%
E14001306,Islington South and Finsbury,Lab,lab,12.1%,7.2%,52.2%,18.1%,1.6%,0.0%,8.7%,0.0%,16.3%,57.0%,19.7%,4.3%,0.0%,0.0%,2.3%,0.3%
E14001307,Jarrow and Gateshead East,Lab,lab,11.9%,6.7%,52.7%,4.8%,2.0%,0.0%,21.9%,0.0%,23.7%,49.2%,6.5%,2.5%,0.0%,0.0%,9.5%,8.6%
E14001308,Keighley and Ilkley,Con,lab,24.2%,6.3%,47.0%,5.9%,3.6%,0.0%,12.9%,0.0%,48.1%,43.9%,4.9%,0.0%,0.0%,0.0%,1.6%,1.5%
E14001309,Kenilworth and Southam,Con,lab,29.2%,9.3%,31.4%,10.9%,1.0%,0.0%,18.1%,0.0%,59.0%,19.0%,16.9%,4.2%,0.0%,0.0%,0.2%,0.8%
E14001310,Kensington and Bayswater,Lab,lab,19.5%,6.1%,49.3%,17.2%,1.2%,0.0%,6.7%,0.0%,38.3%,39.0%,20.2%,1.4%,0.0%,0.0%,0.8%,0.3%
E14001311,Kettering,Con,lab,25.0%,4.4%,46.0%,4.3%,1.2%,0.0%,19.2%,0.0%,60.3%,26.9%,6.7%,3.0%,0.0%,0.0%,0.0%,3.2%
E14001312,Kingston and Surbiton,LD,ld,17.2%,3.7%,15.4%,53.6%,1.0%,0.0%,9.0%,0.0%,33.1%,10.2%,52.6%,1.6%,0.0%,0.0%,1.1%,1.4%
E14001313,Kingston upon Hull East,Lab,lab,15.3%,5.4%,46.0%,7.1%,0.0%,0.0%,26.3%,0.0%,34.3%,41.6%,5.0%,2.3%,0.0%,0.0%,16.8%,0.0%
E14001314,Kingston upon Hull North and Cottingham,Lab,lab,14.1%,5.2%,51.1%,6.1%,0.6%,0.0%,22.9%,0.0%,33.5%,46.6%,6.5%,2.6%,0.0%,0.0%,10.8%,0.0%
E14001315,Kingston upon Hull West and Haltemprice,Con,lab,17.4%,3.5%,53.6%,4.7%,0.7%,0.0%,20.0%,0.0%,42.5%,33.8%,9.2%,1.1%,0.0%,0.0%,13.5%,0.0%
E14001316,Kingswinford and South Staffordshire,Con,con,35.4%,5.3%,34.4%,5.5%,0.8%,0.0%,18.7%,0.0%,74.3%,16.8%,5.3%,3.5%,0.0%,0.0%,0.0%,0.0%
E14001317,Knowsley,Lab,lab,4.7%,3.1%,79.4%,1.9%,0.8%,0.0%,10.2%,0.0%,8.7%,79.6%,2.5%,2.0%,0.0%,0.0%,6.3%,0.9%
E14001318,Lancaster and Wyre,Con,lab,21.4%,8.7%,51.1%,3.3%,0.0%,0.0%,15.5%,0.0%,48.0%,41.9%,3.9%,4.4%,0.0%,0.0%,1.8%,0.0%
E14001319,Leeds Central and Headingley,Lab,lab,10.8%,10.3%,57.8%,11.5%,1.1%,0.0%,8.4%,0.0%,17.9%,63.4%,11.2%,3.5%,0.0%,0.0%,4.0%,0.0%
E14001320,Leeds East,Lab,lab,20.3%,6.1%,52.2%,4.3%,1.8%,0.0%,15.4%,0.0%,40.8%,47.0%,3.7%,2.1%,0.0%,0.0%,5.9%,0.5%
E14001321,Leeds North East,Lab,lab,11.9%,8.7%,58.2%,6.4%,1.6%,0.0%,13.1%,0.0%,23.6%,57.5%,11.2%,3.8%,0.0%,0.0%,3.5%,0.3%
E14001322,Leeds North West,Con,lab,20.7%,3.7%,54.0%,9.1%,1.2%,0.0%,11.3%,0.0%,41.9%,38.3%,14.8%,2.3%,0.0%,0.0%,1.3%,1.5%
E14001323,Leeds South,Lab,lab,16.9%,10.6%,59.3%,9.6%,3.6%,0.0%,0.0%,0.0%,26.3%,58.4%,4.4%,3.8%,0.0%,0.0%,6.4%,0.6%
E14001324,Leeds South West and Morley,Con,lab,25.4%,6.6%,45.3%,4.4%,1.4%,0.0%,16.8%,0.0%,53.1%,36.8%,2.8%,3.3%,0.0%,0.0%,1.8%,2.2%
E14001325,Leeds West and Pudsey,Lab,lab,18.3%,5.3%,51.5%,4.2%,2.3%,0.0%,18.3%,0.0%,42.2%,48.4%,3.6%,1.4%,0.0%,0.0%,2.8%,1.5%
E14001326,Leicester East,Lab,lab,17.8%,7.0%,53.1%,4.0%,10.4%,0.0%,7.8%,0.0%,38.5%,50.9%,5.6%,1.8%,0.0%,0.0%,2.5%,0.7%
E14001327,Leicester South,Lab,lab,12.2%,10.0%,55.3%,5.3%,8.5%,0.0%,8.7%,0.0%,21.8%,68.2%,4.3%,3.3%,0.0%,0.0%,2.3%,0.0%
E14001328,Leicester West,Lab,lab,18.7%,9.1%,49.9%,6.7%,1.6%,0.0%,14.0%,0.0%,36.6%,49.3%,6.7%,2.8%,0.0%,0.0%,4.5%,0.0%
E14001329,Leigh and Atherton,Con,lab,18.9%,2.1%,59.9%,3.4%,1.2%,0.0%,14.5%,0.0%,43.8%,43.2%,4.6%,0.3%,0.0%,0.0%,5.8%,2.3%
E14001330,Lewes,Con,ld,26.9%,5.1%,14.2%,43.9%,0.6%,0.0%,9.4%,0.0%,48.5%,7.1%,41.1%,2.9%,0.0%,0.0%,0.2%,0.2%
E14001331,Lewisham East,Lab,lab,11.8%,8.5%,60.8%,6.5%,3.6%,0.0%,8.7%,0.0%,20.0%,62.7%,10.1%,3.5%,0.0%,0.0%,2.6%,1.1%
E14001332,Lewisham North,Lab,lab,8.8%,14.6%,61.4%,7.7%,2.5%,0.0%,5.0%,0.0%,12.2%,69.4%,11.1%,5.3%,0.0%,0.0%,1.6%,0.4%
E14001333,Lewisham West and East Dulwich,Lab,lab,7.9%,6.9%,75.5%,4.2%,1.0%,0.0%,4.6%,0.0%,14.5%,66.1%,9.9%,7.3%,0.0%,0.0%,1.8%,0.5%
E14001334,Leyton and Wanstead,Lab,lab,10.5%,5.2%,57.7%,9.2%,12.0%,0.0%,5.3%,0.0%,19.9%,63.1%,10.7%,3.8%,0.0%,0.0%,1.7%,0.9%
E14001335,Lichfield,Con,lab,29.0%,5.7%,42.4%,5.2%,0.8%,0.0%,16.9%,0.0%,64.1%,21.0%,10.5%,3.2%,0.0%,0.0%,0.0%,1.1%
E14001336,Lincoln,Con,lab,21.7%,7.5%,50.8%,4.7%,0.9%,0.0%,14.5%,0.0%,47.9%,41.0%,4.8%,2.4%,0.0%,0.0%,2.1%,1.8%
E14001337,Liverpool Garston,Lab,lab,6.7%,3.5%,74.7%,7.0%,0.6%,0.0%,7.5%,0.0%,11.7%,70.2%,9.9%,2.7%,0.0%,0.0%,4.9%,0.7%
E14001338,Liverpool Riverside,Lab,lab,4.8%,3.4%,83.5%,2.0%,0.8%,0.0%,5.5%,0.0%,7.8%,85.1%,2.2%,2.4%,0.0%,0.0%,2.6%,0.0%
E14001339,Liverpool Walton,Lab,lab,5.5%,3.1%,80.8%,2.1%,1.0%,0.0%,7.6%,0.0%,9.9%,82.4%,2.3%,1.8%,0.0%,0.0%,2.2%,1.4%
E14001340,Liverpool Wavertree,Lab,lab,6.3%,6.5%,74.0%,4.8%,1.0%,0.0%,7.4%,0.0%,9.6%,71.6%,8.0%,6.2%,0.0%,0.0%,3.7%,1.0%
E14001341,Liverpool West Derby,Lab,lab,5.7%,4.6%,69.6%,3.5%,2.2%,0.0%,14.3%,0.0%,8.6%,77.9%,2.7%,1.9%,0.0%,0.0%,4.9%,3.9%
E14001342,Loughborough,Con,lab,23.3%,5.7%,53.0%,5.8%,0.0%,0.0%,12.3%,0.0%,50.6%,38.8%,7.6%,2.6%,0.0%,0.0%,0.0%,0.5%
E14001343,Louth and Horncastle,Con,lab,34.9%,3.1%,40.4%,4.8%,1.0%,0.0%,15.7%,0.0%,72.5%,17.7%,7.8%,0.0%,0.0%,0.0%,0.0%,2.0%
E14001344,Lowestoft,Con,lab,33.0%,10.2%,33.7%,8.6%,0.0%,0.0%,14.5%,0.0%,60.9%,28.2%,5.1%,5.2%,0.0%,0.0%,0.0%,0.5%
E14001345,Luton North,Lab,lab,18.2%,8.2%,58.3%,3.9%,1.9%,0.0%,9.5%,0.0%,34.3%,53.9%,4.6%,1.9%,0.0%,0.0%,3.0%,2.4%
E14001346,Luton South and South Bedfordshire,Lab,lab,19.6%,10.7%,52.1%,3.4%,4.0%,0.0%,10.2%,0.0%,35.2%,48.7%,0.5%,2.7%,0.0%,0.0%,3.3%,9.7%
E14001347,Macclesfield,Con,lab,21.7%,3.8%,51.7%,5.7%,0.7%,0.0%,16.5%,0.0%,52.5%,32.6%,10.6%,4.3%,0.0%,0.0%,0.0%,0.0%
E14001348,Maidenhead,Con,con,35.9%,4.9%,21.0%,34.6%,3.5%,0.0%,0.0%,0.0%,57.4%,15.0%,23.8%,3.8%,0.0%,0.0%,0.0%,0.0%
E14001349,Maidstone and Malling,Con,con,29.4%,5.8%,25.3%,19.4%,1.2%,0.0%,18.9%,0.0%,58.4%,18.4%,18.6%,3.8%,0.0%,0.0%,0.0%,0.7%
E14001350,Makerfield,Lab,lab,14.7%,3.1%,60.6%,3.5%,1.9%,0.0%,16.3%,0.0%,34.3%,45.3%,4.8%,2.6%,0.0%,0.0%,13.1%,0.0%
E14001351,Maldon,Con,con,38.3%,4.9%,27.7%,11.9%,0.0%,0.0%,17.2%,0.0%,72.2%,12.6%,11.7%,3.4%,0.0%,0.0%,0.0%,0.0%
E14001352,Manchester Central,Lab,lab,10.4%,6.3%,64.0%,5.3%,2.3%,0.0%,11.6%,0.0%,21.0%,65.4%,6.0%,2.9%,0.0%,0.0%,4.4%,0.3%
E14001353,Manchester Rusholme,Lab,lab,6.8%,6.3%,78.1%,0.0%,2.4%,0.0%,6.4%,0.0%,9.1%,78.6%,4.0%,4.3%,0.0%,0.0%,4.0%,0.0%
E14001354,Manchester Withington,Lab,lab,7.5%,7.3%,64.4%,14.2%,1.1%,0.0%,5.5%,0.0%,11.3%,66.5%,15.7%,4.0%,0.0%,0.0%,2.5%,0.0%
E14001355,Mansfield,Con,lab,28.1%,3.2%,42.9%,3.6%,0.8%,0.0%,21.4%,0.0%,64.3%,30.3%,3.3%,0.0%,0.0%,0.0%,0.0%,2.1%
E14001356,Melksham and Devizes,Con,con,34.8%,6.9%,21.6%,28.6%,0.0%,0.0%,8.1%,0.0%,57.8%,12.0%,27.3%,3.0%,0.0%,0.0%,0.0%,0.0%
